Table 1
var_short_name,var_long_name,var_sensor,var_unit,var_spatial_res,var_temporal_res,var_discipline,visualize,var_keywords,var_comment
cruise,cruise ID,SeaFlow,,irregular,three minutes,,0,,cruise ID from Rolling Deck to Repository https://www.rvdata.us
abundance_prochloro,Abundance of Prochlorococcus-like particles,SeaFlow,cells μL-1,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"abundance,concentration,count,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","number of particles normalized by the volume of SeaFlow's virtual-core, see https://github.com/seaflow-uw/seaflow-virtualcore for more details"
abundance_synecho,Abundance of Synechococcus-like particles,SeaFlow,cells μL-1,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"abundance,concentration,count,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","number of particles normalized by the volume of SeaFlow's virtual-core, see https://github.com/seaflow-uw/seaflow-virtualcore for more details"
abundance_picoeuk,Abundance of Picoeukaryote phytoplankton,SeaFlow,cells μL-1,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"abundance,concentration,count,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","number of particles normalized by the volume of SeaFlow's virtual-core, see https://github.com/seaflow-uw/seaflow-virtualcore for more details"
abundance_croco,Abundance of Crocospheara-like particles,SeaFlow,cells μL-1,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"abundance,concentration,count,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","number of particles normalized by the volume of SeaFlow's virtual-core, see https://github.com/seaflow-uw/seaflow-virtualcore for more details"
diam_prochloro,Average diameter of Prochlorococcus-like particles,SeaFlow,μm,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"size,diameter,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","derived from forward light scatter using the Mie theory, see https://github.com/seaflow-uw/fsc-size-calibration for more details"
diam_synecho,Average diameter of Synechococcus-like particles,SeaFlow,μm,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"size,diameter,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","derived from forward light scatter using the Mie theory, see https://github.com/seaflow-uw/fsc-size-calibration for more details"
diam_picoeuk,Average diameter of Picoeukaryote phytoplankton,SeaFlow,μm,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"size,diameter,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","derived from forward light scatter using the Mie theory, see https://github.com/seaflow-uw/fsc-size-calibration for more details"
diam_croco,Average diameter of Crocospheara-like particles,SeaFlow,μm,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"size,diameter,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","derived from forward light scatter using the Mie theory, see https://github.com/seaflow-uw/fsc-size-calibration for more details"
Qc_prochloro,Average carbon quotas of Prochlorococcus-like particles,SeaFlow,pgC cell-1,irregular,three minutes,biology+biogeochemistry+optics+cytometry,1,"quotas,cellular content,carbon,POC,insitu,in-situ,cruise,reprocessed,biology,biogeochemistry,optics,flow-cytometry,flow cytometer,seaflow,phytoplankton,armbrust lab,francois ribalet,UW,University of Washington,UofW,W1005A,KN210-04,RR1814,RR1815,KM1708,KM1717,KM1802,KM1805,KOK1801,KOK1803,KOK1804,KOK1807,KM1821,KM1823,KM1901,KM1903,KM1909,KM1912,KM1915,KM1917,KM1924,KM2001,KM2002,KM2009,KM2010,KM2011,KM2013,KM2014,KM2101,KM2103,KM2104,KM2105,KM2109,KM2111,KM2204,KM2205,KM2207,KM2208,KM1314,KM1712,KM1713,KM1906,KM1919,KM1920,KM1923_740,KM2206,KOK1805,KOK1806,CN11ID,CN12ID,CN13ID,KM1709,MGL1704,RR2106,KM1427,KOK1515,KM1518,KM1601,KM1602,KM1603,KOK1604,KOK1606,KOK1607,KOK1608,KOK1609,KM1502,KM1508,KM1510,KM1512,KM1513,KOK1512,FK180310-1,FK180310-2,KM2112,KM2209,SR1917,TN243,TN248,TN280,TN291,TN292,TN252,TN257,TN260,TN271,TN396,TN397,TN398,TN412,TN413,TN414,Tokyo_1,Tokyo_2,Tokyo_3,Tokyo_4","carbon content, based on the equation pgC cell-1 = 0.261 x Volume^0.860, where Volume is calculated from cell diameter assuming spherical particle; see https://github.com/seaflow-uw/fsc-poc-calibration for more details"
