geo
TN413
Gradients 5 Thompson underway feed
RFC3339	Latitude Decimal format	Longitude Decimal format	TSG temperature	TSG conductivity	TSG salinity	PAR
time	float	float	float	float	float	float
NA	deg	deg	C	S/m	PSU	µE/m^2/s
time	lat	lon	temp	conductivity	salinity	par
2023-02-24T22:14:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:15:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:16:43Z	21.2837	-157.8998	NA	NA	NA	NA
2023-02-24T22:17:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:18:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:19:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:20:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:21:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:22:43Z	21.2837	-157.8998	NA	NA	NA	NA
2023-02-24T22:23:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:24:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:25:43Z	21.2837	-157.8998	NA	NA	NA	NA
2023-02-24T22:26:43Z	21.2837	-157.8998	NA	NA	NA	NA
2023-02-24T22:27:43Z	21.2837	-157.8999	NA	NA	NA	NA
2023-02-24T22:28:43Z	21.2837	-157.8998	NA	NA	NA	NA
2023-02-24T22:29:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:30:44Z	21.2839	-157.8996	NA	NA	NA	NA
2023-02-24T22:31:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:32:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:33:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:34:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:35:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:36:44Z	21.2839	-157.8997	NA	NA	NA	NA
2023-02-24T22:37:44Z	21.2839	-157.8998	NA	NA	NA	NA
2023-02-24T23:04:49Z	21.2827	-157.8973	NA	NA	NA	NA
2023-02-24T23:05:49Z	21.2827	-157.8973	NA	NA	NA	NA
2023-02-24T23:06:49Z	21.2827	-157.8973	NA	NA	NA	NA
2023-02-24T23:07:49Z	21.2828	-157.8972	NA	NA	NA	NA
2023-02-24T23:08:49Z	21.2828	-157.8972	NA	NA	NA	NA
2023-02-24T23:09:49Z	21.2829	-157.8972	NA	NA	NA	NA
2023-02-24T23:10:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:11:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:12:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:13:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:14:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:15:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:16:49Z	21.2829	-157.8971	NA	NA	NA	NA
2023-02-24T23:17:49Z	21.2828	-157.8973	NA	NA	NA	NA
2023-02-24T23:18:49Z	21.2827	-157.8973	NA	NA	NA	NA
2023-02-24T23:19:49Z	21.2827	-157.8972	NA	NA	NA	NA
2023-02-24T23:20:49Z	21.2827	-157.8972	NA	NA	NA	NA
2023-02-24T23:21:49Z	21.2827	-157.8972	NA	NA	NA	NA
2023-02-24T23:22:49Z	21.2827	-157.8972	NA	NA	NA	3663.962
2023-02-24T23:23:49Z	21.2827	-157.8973	NA	NA	NA	4054.183
2023-02-24T23:24:49Z	21.2827	-157.8972	NA	NA	NA	4302.228
